,company,job title,location,job description,salary estimate,company_size,company_type,company_sector,company_industry,company_founded,company_revenue
651,"NetApp
4.2",Senior Engineering Director (Cloud),Bangalore,"About NetApp
We’re forward-thinking technology people with heart. We make our own rules, drive our own opportunities, and try to approach every challenge with fresh eyes. Of course, we can’t do it alone. We know when to ask for help, collaborate with others, and partner with smart people. We embrace diversity and openness because it’s in our DNA. We push limits and reward great ideas. What is your great idea?

""At NetApp, we fully embrace and advance a diverse, inclusive global workforce with a culture of belonging that leverages the backgrounds and perspectives of all employees, customers, partners, and communities to foster a higher performing organization."" -George Kurian, CEO
Job Summary

As a Senior Director of Software Engineering, in the most senior role in the function, you will utilize strong management and technical competencies to set objectives and develop strategies for the Cloud Volumes Services Engineering team. You will work with executive management and have the opportunity to directly impact the success of the function in meeting NetApp’s goals. You will provide direction and leadership to engineering managers and engineer team focused on development, testing and debugging of NetApp Cloud Volumes Services for GCP and Azure. These committed teams develop enhancements to existing products, as well as develop new products for cloud volumes services. As part of the Research and Development function, the overall focus of the group is on competitive market and customer requirements, technology advances, product quality, product cost and time-to-market.
Essential Functions:
Design, develop and implement strategies and plans that impact the long-term performance and competitiveness of the organization as a whole.
Influence policymaking.
Develop and approve exceptions to policy tied directly to area of responsibility.
Work collaboratively with other senior managers and vice presidents to establish strategic plans and objectives.
Participate in corporate development of methods, techniques and evaluation criteria for projects, programs and people within your area of responsibility.
Develop budgets for approval and assure adherence once budget is approved.
Utilize previous technical, project and people management experience to provide direction to senior managers and lead strategic global projects.
Job Requirements

Excellent oral and written communication skills are essential, especially presentation and negotiation skills.
A deep understanding of technology, how function relates to other functions and the business as a whole.
An in-depth understanding of concepts related to computer architecture, data structures and programming practices.
Experience in software development.
Prior experience with developing budgets and controlling costs.
A demonstrated ability to manage and lead manager level employees and complex projects.

Responsibility
This position is responsible for directing and controlling activities at the most senior level within the function and global geographic area.
The focus of this role is on translating functional strategies into operational plans and priorities. May develop functional strategies.
The potential impact of decisions made by this individual has significant operational or financial impact on the performance standards of the function and may impact the company’s success.
This individual will use in-depth knowledge to solve abstract issues and assess intangible variables, and establish long-range plans.
This individual is accountable for managing to assigned budget.

Interaction
This individual must demonstrate strong leadership skills by establishing clear goals, objectives and priorities that communicate the organization’s vision.
Works with senior management and vice president level employees addressing issues across companies and functions.
This position reports to a Vice President
Education & Experience

12+ years of experience as a people manager is required.
A Bachelor of Science Degree in Electrical Engineering or Computer Science, a Master Degree, or a PhD; or equivalent experience is required.
Extensive technical experience developing/delivering Cloud Services with hyperscaler platforms including Microsoft Azure, AWS, or Google Cloud Platform
Experience and understanding of modern cloud technologies and best development practices.
A proven track record with balancing multiple complex cross-functional projects and processes with multiple stakeholders
Did you know…
Statistics show women apply to jobs only when they’re 100% qualified. But no one is 100% qualified. We encourage you to shift the trend and apply anyway! We look forward to hearing from you.

Why NetApp?
In a world full of generalists, NetApp is a specialist. No one knows how to elevate the world’s biggest clouds like NetApp. We are data-driven and empowered to innovate. Trust, integrity, and teamwork all combine to make a difference for our customers, partners, and communities.

We expect a healthy work-life balance. Our volunteer time off program is best in class, offering employees 40 hours of paid time off per year to volunteer with their favorite organizations. We provide comprehensive medical, dental, wellness, and vision plans for you and your family. We offer educational assistance, legal services, and access to discounts. We also offer financial savings programs to help you plan for your future.

If you run toward knowledge and problem-solving, join us.",#N/A,10000+ Employees,Company - Public,Information Technology,Enterprise Software & Network Solutions,1992,$5 to $10 billion (USD)
652,"Eightfold.AI
3.4",Senior Software Engineer- Backend,Bangalore,"This role is for one of our core product teams where we are looking for a backend engineer with an exp of 3 to 7 yrs.

What You’ll Do:

Develop robust, scalable, and configurable server-side applications and modules with an emphasis on quality, performance, design, and re-usability.
Design and develop new microservices or integrate applications with existing ones.
Design and develop safe and reliable data pipelines for high-scale data integration for fortune 500 customers.
Improve code coverage and drive up the automated unit and selenium testing.
Work closely with the product managers, designers, and other cross-functional teams

What We Look For:

A solid grounding in Computer Science fundamentals with prior work experience of 3 to 7 years.
Hands-on experience in back-end development
Passionate about designing, building, launching, and maintaining products
Cares about the details in the user experience
Ability to develop software/code in one mainstream programming language (brownie points if you know Python)
Communicates and collaborates effectively across teams

Our Backend Stack:

We majorly use and are not limited to the below technologies. Also, we hire engineers coming with an experience in any of the mainstream programming languages.
Python, Flask, Tensorflow
Apache Spark, Solr, Mysql, Docker
Major AWS services like Aurora, S3, Redshift, Cloudformation, SNS, SQS etc
Extensive use of AI and machine learning technologies
Distributed system & Microservices

Eightfold Engineering Values:

We are a team of self-starters who excel in their fields. We believe in giving you responsibility, not a task. We want you to have ownership and pride in the work you are doing, and see the positive impact of your work on your colleagues, our customers, and people around the world. We have a mindset of continuously improving. There is no detail that is beneath us, and we can dive into anything needed. We focus on executing fast and delivering value to our customers every single day. We believe in providing transparency and support, so you can do the best work of your career.

About Eightfold:

Eightfold was founded with a vision to solve for employment in our society. For decades, the connection between individuals and opportunities has been based on who the individuals are and the strength of their network, vs. their potential. Eightfold leverages artificial intelligence to transform how to think about skills and capabilities for individuals as well as how jobs and career decisions are made. Eightfold offers the industry’s first AI-powered Talent Intelligence Platform to transform how organizations plan, hire, develop and retain a diverse workforce, enabling individuals to transform their careers.
We secured a $220M Series E funding round, led by SoftBank ’s Vision Fund in June 2021. Thus, we’ve raised more than $400 million in funding to date, including $350 million in the last six months. We’re valued at over $2 Billion this time from $1 Billion a few months ago. Our valuation doubled within a few months.

Our customers- https://eightfold.ai/customers/
Press - https://eightfold.ai/press/
You may want to refer to the media coverage on TechCrunch and Reuters.

Founders:
Varun Kacholia ( https://www.linkedin.com/in/varunkacholia/ ) &
Ashutosh Garg ( https://www.linkedin.com/in/ashutoshgarg893/ )

Our Engineering Leaders:
Vineet Abraham ( https://www.linkedin.com/in/vineet-a-9264707/ )
Vinodh Ravindranath ( https://www.linkedin.com/in/vinodhkumarr/ )
Chandra ( https://www.linkedin.com/in/sivasankaran-chandrasekar-31803624/ )

Does building a robust platform & application that solves the problem of unemployment in the world excite you?
Do you want to be a part of the team which has built successful B2B products, powering 150+ big enterprises?
Are you passionate about scaling machine learning techniques over Terabytes of data that facilitate the right career for everyone?

If yes, Eightfold.ai is the right place for you.",?1L - ?1L (Glassdoor Est.),501 to 1000 Employees,Company - Private,Information Technology,Enterprise Software & Network Solutions,2016,Unknown / Non-Applicable
653,the Inspire Global Innovation Center,Engineering Manager - DevOps,Hyderābād,"About the Inspire Global Innovation Center
Inspire Brands is disrupting the restaurant industry through digital transformation and operational efficiencies. The companys technology hub, the Inspire Global Innovation Center in Hyderabad, India, will lead technology innovation and product development for the organization and its portfolio of distinct brands. The Inspire Global Innovation Center will focus on developing new capabilities in data science, data analytics, eCommerce, automation, cloud computing, and information security to accelerate the companys business strategy. Inspire Global Innovation Center will also host an innovation lab and collaborate with start-ups to develop solutions for productivity optimization, workforce management, loyalty management, payments systems, and more.
Job Description
The Sr.Manager, Infrastructure Services will oversee day-to-day operations as well as maintain a longer-term focus on helping grow the platform to the next level. Cloud Operations clients include various Inspire Brands teams, service partners, and development partners. As the Cloud Operations Sr.Manager you will lead a team that provides service insight, response, and service management to maintain high service reliability and availability with low touch through extensible services and platforms, standardized processes, data insights, and product feedback.
RESPONSIBILITIES:
Provide guidance and assistance to Managers.
Oversee the administration of business-critical cloud-delivered systems and services.
Research and make decisions on software, processes, and partners to provide enterprise class support for Inspire Brands cloud platforms.
Ensure that comprehensive service and support procedures are implemented and well understood, and that service level objectives are met or exceeded as applicable.
Responsible for Platform and DevOps support related issues on a day-to-day basis, and long-term planning for maintaining technologically current, reliable, and cost-effective solutions.
Oversee and provide leadership direction during operational incidents, ensuring necessary resourcing and availability of subject matter expertise as well as proactive, business communications.
Ensure that requests and incidents are accurately documented, escalated, and resolved.
Responsible for continuously generating and analyzing metrics to ensure that performance levels are satisfactory, and trends are identified and proactively addressed as necessary.
Develop, implement, and manage governance models that enable business units to leverage cloud technology offerings securely and effectively.
Coordinate with functional or operational area Sr.Managers to understand their current and future information needs and develop plans, cost estimates, and schedules for integrating these needs into existing operations or develop plans for future operational support.
Ensure that technical and financial evaluation of services consider all specified requirements, and that product selection is based on thorough research.
Assist and advise in the areas of physical planning, security, backup and recovery and the logistics of contingency planning.
Develop processes to manage allocation, reporting and containment of costs for cloud platforms.
Maintain systems in accordance with best practices to improve security, reliability and resilience of the systems in production.
Recruit and retain top talent and coach and mentor team members.
Provide employee leadership, guidance, performance feedback and reviews, and individual/career development.
EDUCATION QUALIFICATION:
Required Minimum: BS/BA degree in IT or related field preferred; equivalent experience may be substituted in lieu of education.
EXPERIENCE QUALIFICATION:
6-8 years personnel management and leadership experience
12+ years of technical management/administration of operational technology systems
Hands-on technical expertise with implementation and administration of one or more cloud platforms is required. Azure is strongly preferred.
Demonstrated understanding of how to proactively identify and address operational technology needs.
General knowledge of identity management and information security best practices is required.
REQUIRED KNOWLEDGE, SKILLS OR ABILITIES:
Hands-on experience with Microsoft Azure is required. Specifically, Azure Security Center, Azure monitoring, Azure Key Vault, Azure Kubernetes Service, Azure Dedicated HSM, Blob Storage, Azure Backup, Azure Functions, Virtual Machines, Service Fabric and Container Instances.
Hands-on experience with any one of the IAC Coding languages (Python, Bash, PowerShell) with a focus on orchestration and automation of underlying services, systems, provisioning, and security hardening.
Experience developing and/or maintaining production-grade cloud solutions in virtualized environments such as Pivotal Cloud Foundry
Experience with creating and deploying AWS and ARM templates.
Able to pick up and learn new AWS/Azure technologies and create internal training docs.
Experience with Database technologies (SQL, Cluster technology and creation, Always-On, migration, log shipping)
Required understanding of Elastic Search
Experience architecting solutions withinAzure.
Working knowledge of common and industry standard cloud-native/cloud-friendly authentication mechanisms (OAuth, OpenID, etc). Experience working with cloud security and governance tools, cloud access security brokers (CASBs), and server virtualization technologies.
Experience with enterprise applications (architecture, development, support, and troubleshooting).
Experience with enterprise architecture and working as part of a cross-functional team to implement solutions.
Experience in handling production support incidents and connect between Developer/Operations team to perform deep dive analysis work on RCA/implement code fix.
Experience with automation systems: e.g. Ansible, Jenkins, Chef, GIT
Experience with monitoring solutions: e.g. Splunk, Solarwinds, Nagios
Experience with Jira, Confluence, Atlassian
Experience with APM tools: e.g. Dynatrace, AppDynamics, New Relic, Stackify, Raygun
Experience with SRE tools and processes
Experience with Microsoft O365
Experience with SQL queries
Experience with C#, Python, NodeJS, JSON, Java, etc.
Knowledge of serverless and container technologies
Knowledge of CI/CD automation
Knowledge of ITIL concepts including Service Management and Service Delivery and experience
Highly developed analytical skills and the ability to solve complex technical problems using a methodical systematic approach
Excellent written and verbal communication and interpersonal skills and a strong customer service orientation

12-17 years
Jenkins / Ansible / Chef / Git / Splunk / Solarwinds / nagois / dynatrace / App Dynamics / New Relic / AWS CodeDeploy / ARM template / Azure / AWS / GCP / Python / Powershell / Bash",?4L - ?9L (Glassdoor Est.),1 to 50 Employees,Company - Public,#N/A,#N/A,2011,Unknown / Non-Applicable
654,the Inspire Global Innovation Center,Data Architect,Hyderābād,"About the Inspire Global Innovation Center
Inspire Brands is disrupting the restaurant industry through digital transformation and operational efficiencies. The companys technology hub, the Inspire Global Innovation Center in Hyderabad, India, will lead technology innovation and product development for the organization and its portfolio of distinct brands. The Inspire Global Innovation Center will focus on developing new capabilities in data science, data analytics, eCommerce, automation, cloud computing, and information security to accelerate the companys business strategy. Inspire Global Innovation Center will also host an innovation lab and collaborate with start-ups to develop solutions for productivity optimization, workforce management, loyalty management, payments systems, and more.
Job Description
PURPOSE OF THE POSITION
Inspire Brands is looking for Data Architect, a self-driven senior technical professional to collaborate with our business, Product and Development teams and help qualify, identify, and build Data & Analytics solutions. As part of Enterprise Data Team, this position is responsible for actively defining robust, efficient, scalable and innovation solutions that are custom fit to our needs.

Job Summary

Play a key role working with product and business teams to understand their strategic, business, and technical needs
Define technical architecture roadmaps which help realize business values in both tactical and strategic ways
Define and continuously update architecture principles in line with business and technology needs
Design solutions involving data architectures based on established principles. Architectures include but not limited to data lake, data fabric, dimensional marts, MDM, etc.
Create data flow diagrams and details to establish data lineage and help educate team members in a clear and articulate manner
Partner with technical leads to identify solution components and latest data related technologies that best meet business requirements
Identify gaps in the environment, process, and skills with the intent to address, educate, and bring teams together to drive results
Become a thought leader by educating and sharing best practices, architecture patterns, building deep relationships with technical leaders, contributing to publications, white papers, conferences, etc.
Provide support to enterprise data infrastructure management and analysts to ensure development of efficient data systems utilizing established standards, procedures and methodologies
Create cloud data models and database architecture using database deployment, monitoring automation code, and for long term technical viability of cloud master data management integrated repositories
Suggest ideas to improve system performance and cost reduction
Communicate data architecture to stakeholders and collaborate and coordinate with other technical staff
Ensures adherence to Enterprise data movement, quality and accountability standards in technology
Conducts data driven analyses of usage of detailed data elements across the business domain to provide optimal data provisioning patterns across the application space
Possesses excellent quantitative /analytic skills and are able to influence strategic direction, as well as develop tactical plans
Improving and streamlining processes regarding data flow and data quality to improve data accuracy, viability and value



EDUCATION QUALIFICATIONS
List education pre-requisites for the position.

Education Requirements

Min/Preferred
Education Level
Description

Minimum
4 Year / Bachelors Degree
BA with equivalent technical competency

Preferred
Graduate Degree
BS in Computer Science



EXPERIENCE QUALIFICATION
List experience required to be eligible for the role.

Years Of Experience

Minimum Years of Experience
Maximum Years of Experience
Comments

14 + Years
8 years of solution architect for data and analytics solutions



REQUIRED KNOWLEDGE, SKILLS or ABILITIES
List other job-specific knowledge, skills or abilities required to be eligible for this role.

Knowledge, Skills, and Abilities

Strong experience in Azure services including but not limited to ADLS, ADF, Event Hubs, Functions, etc.
Exhaustive experience in Data bricks, Snowflake, Apache Airflow, etc.

Exceptional interpersonal skills will ability to communicate verbal, written, and presentation skills at all levels, across multiple functions, and drive participation and collaboration. Demonstrated ability in working with key executives and stakeholders to solve and drive business outcomes

Deep understanding of processes related to data solution SDLC with clear ability to improve processes where necessary

Strong analytical and quantitative skills

Enjoys seeing impact of work in the organization, highly motivated and comfortable with ambiguity

Maverick approach to work with a passion for technology, and ways of working trends

14-16 years
Python / Databricks / Snowflake / Airflow / Apache Airflow / Azure Data Factory / ADF / Azure Data Lakes / ADLS",?4L - ?9L (Glassdoor Est.),1 to 50 Employees,Company - Public,#N/A,#N/A,2011,Unknown / Non-Applicable
655,"Genworth
3.8",GCP Data Engineer,Gurgaon,"Position:
GCP Data Engineer

Location:
Mumbai, Chennai, Kolkata, Hyderabad, Pune, Bangalore, Gurgaon, Remote - India
In this role you will be working very closely with Project Stakeholders and Technical team. As part of your role, you will be responsible to develop and maintain Pre/Post processing programs and ML models. You will be responsible for maintaining, patching, upgrading and developing for multiple ML & Python based solution. This role is a very engaging mix of hands on technical work as well as opportunities to show leadership skills. You will need a blend of superb problem-solving and innovation skills to resolve a wide variety of technical challenges. You will be working with Stakeholders and Solution Architects who thrive through innovation and will ensure ample room for innovation on every project you are involved in.
You will be working with best in class employees with a diverse background in a very fun and engaging environment.

Your Role:
Build machine learning pipelines for a variety of use cases in insurance.
Develop python pre/post processing programs for the ML Pipelines using industry standard ML libraries
Utilize GCP based tools for implementation of ML pipelines. (Composer, Airflow, Cloud functions, Bigquery, workbench, DocAI)
Work with Production Support /Run the Shop IT Partner vendor team and provide directions and assistance.
Interact closely with various functional and cross -functional teams to translate business requirements into technical solutions
Develop Enterprise API and Microservices using Python, JavaScript, Docker, Kubernetes and used DevOps for CICD

Your Qualifications:
Overall 2-4 years of experience in Python, GCP
Having Math or Computer Science educational background
Proficient in Python programming language including Pandas, TensorFlow, Scikit-learn, Torch and Keras ML Libraries
Proficient in Cleaning and structuring the data by applying feature-engineering techniques
Understanding Of High-Performance CV Models and Techniques (Image Classification, Object Detection, Object Tracking, Semantic Segmentation, Etc.) And With Toolkits/Frameworks from Python, Preferably with Cloud Deployment Experience
Proficient in Programming theory, practice and combined with strong hands-on experience in enterprise architectures
Experience in SQL and Database Design and SQL Tuning
Must have multiple full lifecycle project experience in developing ML/AI based solutions
Google cloud certifications.
Basic understanding of NoSQL and RDBMS databases.
Strong focus on providing service to the customer.
Out of the box thinking; Flexible / Critical thinking skills a must.
Able to sell concepts and designs / benefits to multiple audiences.
Able to work independently and in diverse, co-located and remote teams

WHY GENWORTH?
We have a real impact on the lives of the people we serve
We work on challenging and rewarding projects
We give back to the communities where we live
We offer competitive benefits including:
Medical and Life Insurance
Annual Leave up to 25 business days, Sick Leave, Parental Leaves
11 Paid Holidays
Utility Allowance for Telephone and Internet
Employee Assistance Program
Business Travel Accident Insurance
Gratuity Eligibility
Retirement Saving Plans

COMPANY
Genworth Financial, Inc. is a leading insurance holding company committed to helping families achieve the dream of home ownership and address the financial challenges of aging through its leadership positions in mortgage insurance and long-term care insurance. Headquartered in Richmond, Virginia, Genworth traces its roots back to 1871.",?7L - ?8L (Glassdoor Est.),1001 to 5000 Employees,Company - Public,Insurance,Insurance Carriers,2004,$5 to $10 billion (USD)
656,"Labcorp
3.7",SR. Statistical Programmer Specialist,Bangalore,"Responsibilities
Develop and review SAS specifications, programs and output for the creation of ADaM and client defined analysis datasets, tables, listings and graphs in support of statistical Analysis plans.
Interact with project team members in related discipline e. g. Clinical data management, Clinical Operations and Biostatistics.
Assume team member responsibilities, including representing Statistical programming at internal project team meetings and with support from statistical programming staff at client meetings.
Demonstrate good problem solving skills, a proactive approach and a willingness to make decisions, seeking advice from senior Statistical programming staff at client meetings.
With sufficient experience assume the role of a Lead Programmer for assigned projects.
Understand scope of project in order to advise Senior statistical programming staff of changes in scope of projects to enable the timely development of change orders.
Assist with training, mentoring of statistical programmers under the supervision of senior statistical programming staff.
Participate in statistical programming review of case report forms, annotated CRFs, database structure and study related documentation.
Review draft and final production runs for projects to ensure quality and consistency.
Ensure the filing of study documentation is maintained to the standard requirement according to processes and acceptable for audit.
Prioritize personal workload to meet specified completion dates.
Carry out all activities according to Labcorp SOPs working within the framework of the Quality management system and to Good Clinical Practice (GCP).
Perform other duties as assigned by Senior Statistical Programming staff.
Education/Qualifications
Graduate or Bachelor’s degree in Life Sciences (or Pharma or related health discipline) from an accredited university or college.
BSc, B. E , B. Tech, M. Tech, preferably in computing, life science, mathematical or statistical subject
Experience
3+ years of experience as Statistical Programmer for management and reporting of clinical trial data.
Demonstrated skills in the use of SAS.
Good time management skills and the ability to work to tight deadlines while maintaining the highest standards of work.
Awareness and appreciation of the business needs of a CRO.
Effective communication skills.
Cooperative and team oriented approach.
Self motivation and ability to work independently.
Labcorp is proud to be an Equal Opportunity Employer:
As an EOE/AA employer, Labcorp strives for diversity and inclusion in the workforce and does not tolerate harassment or discrimination of any kind. We make employment decisions based on the needs of our business and the qualifications of the individual and do not discriminate based upon race, religion, color, national origin, gender (including pregnancy or other medical conditions/needs), family or parental status, marital, civil union or domestic partnership status, sexual orientation, gender identity, gender expression, personal appearance, age, veteran status, disability, genetic information, or any other legally protected characteristic. We encourage all to apply.
For more information about how we collect and store your personal data, please see our Privacy Statement.",?4L - ?6L (Glassdoor Est.),10000+ Employees,Company - Public,Healthcare,Healthcare Services & Hospitals,1978,$10+ billion (USD)
657,"Infosys Limited
3.9",SAP ABAP Developer,Bangalore,"Responsibilities
• Based on deep and advanced SAP ABAP technical knowledge will perform developing complex programs, debug, and trouble-shoot. • Enlisted as specialized technical expert will be responsible for development and ongoing maintenance/enhancements of SAP. • Quickly solve/determine problems working with technical/non-technical groups in areas that may not be primary area of expertise. • Collaborates with cross-functional team members to understand business requirements and create clear, technical specifications outlining the specific enhancement or functionality required. Supplies estimations, status updates, and escalations to ensure timely delivery of solutions. • Understands business objectives, demonstrate full responsibility and ownership on assignments. • Provide complex and highly visible business support and capable of diagnosing and fixing the SAP technical problems. • Ensure all work is unit tested, drive systems integration testing and performance testing as needed based on project needs. • Effectively document design requirements and specifications through solid written and verbal communication. • Participate in daily stand-ups to provide updates and maintain transparency within the group and across business partners. • Ability to work independently, with cross-functional teams. • Maintain/validate the ABAP coding standard.
Technical and Professional Requirements:
• 3+ years of SAP ABAP Experience in User Exits, Smart forms, OOP, SAP Script. • NetWeaver - BAPI, BADI, Data Dictionary, Reports, Dialogue (Module Pool), BDCs, RFCs, ALE/EDI/IDOC, SAP Enhancements (User Exits). • ABAP Object oriented programming. • Creation/Maintain Process for SD/MM/FI/HR/S/4 HANA modules.
Preferred Skills:
SAP ABAP
Educational Requirements
Bachelor Of Comp. Applications,Bachelor Of Computer Science,Bachelor of Engineering",?4L - ?7L (Glassdoor Est.),10000+ Employees,Company - Public,Information Technology,Information Technology Support Services,1981,$10+ billion (USD)
658,"Genworth
3.8",Sr. Data Engineer,Noida,"In this role you will be working very closely with Project Stakeholders and Technical team. As part of your role, you will be responsible to develop and maintain Pre/Post processing programs and ML models. You will be responsible for maintaining, patching, upgrading and developing for multiple ML & Python based solution. This role is a very engaging mix of hands on technical work as well as opportunities to show leadership skills. You will need a blend of superb problem-solving and innovation skills to resolve a wide variety of technical challenges. You will be working with Stakeholders and Solution Architects who thrive through innovation and will ensure ample room for innovation on every project you are involved in.
You will be working with best in class employees with a diverse background in a very fun and engaging environment.

Your Role:
Build machine learning pipelines for a variety of use cases in insurance.
Develop python pre/post processing programs for the ML Pipelines using industry standard ML libraries
Utilize GCP based tools for implementation of ML pipelines. (Composer, Airflow, Cloud functions, Bigquery, workbench, DocAI)
Work with Production Support /Run the Shop IT Partner vendor team and provide directions and assistance.
Interact closely with various functional and cross -functional teams to translate business requirements into technical solutions
Develop Enterprise API and Microservices using Python, JavaScript, Docker, Kubernetes and used DevOps for CICD

Your Qualifications:
Overall 6-10 years of experience in Python, GCP
Having Math or Computer Science educational background
Proficient in Python programming language including Pandas, TensorFlow, Scikit-learn, Torch and Keras ML Libraries
Proficient in Cleaning and structuring the data by applying feature-engineering techniques
Understanding Of High-Performance CV Models and Techniques (Image Classification, Object Detection, Object Tracking, Semantic Segmentation, Etc.) And With Toolkits/Frameworks from Python, Preferably with Cloud Deployment Experience
Proficient in Programming theory, practice and combined with strong hands-on experience in enterprise architectures
Experience in SQL and Database Design and SQL Tuning
Must have multiple full lifecycle project experience in developing ML/AI based solutions
Basic understanding of NoSQL and RDBMS databases.
Strong focus on providing service to the customer.
Out of the box thinking; Flexible / Critical thinking skills a must.
Able to sell concepts and designs / benefits to multiple audiences.
Able to work independently and in diverse, co-located and remote teams",?7L - ?8L (Glassdoor Est.),1001 to 5000 Employees,Company - Public,Insurance,Insurance Carriers,2004,$5 to $10 billion (USD)
659,the Inspire Global Innovation Center,SQL Database Administrator,Hyderābād,"About the Inspire Global Innovation Center
Inspire Brands is disrupting the restaurant industry through digital transformation and operational efficiencies. The companys technology hub, the Inspire Global Innovation Center in Hyderabad, India, will lead technology innovation and product development for the organization and its portfolio of distinct brands. The Inspire Global Innovation Center will focus on developing new capabilities in data science, data analytics, eCommerce, automation, cloud computing, and information security to accelerate the companys business strategy. Inspire Global Innovation Center will also host an innovation lab and collaborate with start-ups to develop solutions for productivity optimization, workforce management, loyalty management, payments systems, and more.
Job Description
The Platform will be responsible for the implementation, configuration, maintenance, and performance of Cloud Platform Databases, to ensure the availability and consistent performance of our corporate applications. This is a hands-on position requiring solid technical skills, as well as excellent interpersonal and communication skills.
The successful candidate will be responsible for the development and sustainment of multiple Cloud Databases, such as Snowflake, Databricks, MongoDB and Azure SQL ensuring operational readiness (security, health and performance), supporting multiple development teams, and troubleshooting day-to-day operational issues as they arise. Must be capable of working independently and collaboratively.
Perform setting up, deploying, and SQL Server, Azure SQLplatform and administration.
Manage security and access controls and tune - SQL Server, Azure SQL for performance and optimize utilization.
Good to have experience in Building high quality solutions and establish design patterns to implement, monitor & maintain complex Snowflake and Azure Data bricks solutions.
Configure and maintain database servers and processes, monitoring of system health and performance, to ensure high levels of performance, availability, and security.
Identify and Troubleshoot performance bottlenecks and optimize the problematic queries.
Should work on the critical incidents and user service requests and responsible for SLA adherence, tracking and reporting.
Experience in Configuration changes and Upgrades. Collaborate with application/migration teams with database activities.
Should have knowledge of how data get processed and consumed in snowflake and how to automate the completed process.
Provides migration of database elements and online application components from development to the production environment.
Performs database tuning and makes recommendations to optimize application performance
Collaborate with the development and maintenance of standards, processes, policy and procedures
Performs support, as required, adhering to on-call processes and problem escalation processes
Adheres to change management processes
Refine and automate regular processes, track issues, and document changes
EDUCATION QUALIFICATION:
Required Minimum: BS/BA degree in IT or related field preferred; equivalent experience may be substituted in lieu of education
EXPERIENCE QUALIFICATION:
3+ years Administration on SQL Server Azure Data Bricks and Snowflake experience required.
2+ years of PostgreSQL, MySQL and Mongo DB experience is required.
3+ years of IT Support experience in an enterprise environment
Experience with performance tuning and optimization, using native monitoring and troubleshooting tools.
Experience with backups, restores and recovery models
Excellent written and verbal communication
Flexible, team player, get-it-done personality
Ability to organize and plan work independently
Ability to work in a rapidly changing environment
Ability to multi-task and context-switch effectively between different activities and teams
Database Professional certifications a plus

3-5 years
snowflake / data bricks / MongoDB / SQL / Azure",?5L - ?7L (Glassdoor Est.),1 to 50 Employees,Company - Public,#N/A,#N/A,2011,Unknown / Non-Applicable
660,"Aptiv
4.1",RADAR System Engineer,Bangalore,"Radar Systems Engineer
Help shape the future of mobility.
Imagine a world with zero vehicle accidents, zero vehicle emissions, and wireless vehicle connectivity all around us. Every day, we move closer to making that world a reality. Aptiv’s passionate team of engineers and developers creates advanced safety systems, high-performance electrification solutions and data connectivity solutions so that automakers can bring advanced capabilities to more people around the globe. This is how we enable sustainable mobility and help to prevent accidents caused by human error.
Want to join us?
Your Role
As a Radar Systems Engineer on our team, you’ll be responsible for Radar Core Systems Development and Analyzing the field Data for Advanced Safety Products. In your daily job you will:
Own Radar Processing algorithm development for ADAS products;
Be responsible for Systems Requirement creation and Algorithms Development (Matlab) using SDLC Model per ASPICE;
Collaborate with cross functional teams for day-to-day activities;
Have the chance to demonstrate your debugging skills and issue resolution with ownership;
Your Background
Key ingredients for succeeding in this role are your:
Master’s degree in computer science, electronics, automatics or related;
Experience with Radar Signal processing Algorithms development;
Working knowledge of Radar Systems development tools;
Experience in Radar testing;
Knowledge of Automotive Product Development Process (ASpice);
Hands on experience with waveform generator, Radar Target Simulator and Frequency Analyzer;
Courage to pursue new ideas with the aim of achieving both your professional aspirations and Aptiv's mission is inspiring
Why join us?
You can grow at Aptiv. Whether you are working towards a promotion, stepping into leadership, considering a lateral career move, or simply expanding your network – you can do it here. Aptiv provides an inclusive work environment where all individuals can grow and develop, regardless of gender, ethnicity or beliefs.
You can have an impact. Safety is a core Aptiv value; we want a safer world for us and our children, one with: Zero fatalities, Zero injuries, Zero accidents.
You have support. Our team is our most valuable asset. We ensure you have the resources and support you need to take care of your family and your physical and mental health with a competitive health insurance package.
Your Benefits at Aptiv:
Hybrid and flexible working hours;
Higher Education Opportunities (UDACITY, UDEMY, COURSERA are available for your continuous growth and development);
Life and accident insurance;
Sodexo cards for food and beverages
Well Being Program that includes regular workshops and networking events;
EAP Employee Assistance;
Access to fitness clubs (T&C apply);
Creche facility for working parents;
Apply today, and together let’s change tomorrow!
#INDIN
Privacy Notice - Active Candidates: https://www.aptiv.com/privacy-notice-active-candidates
Aptiv is an equal employment opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, national origin, sex, gender identity, sexual orientation, disability status, protected veteran status or any other characteristic protected by law.",?5L - ?5L (Glassdoor Est.),10000+ Employees,Company - Public,Manufacturing,Electronics Manufacturing,2017,$10+ billion (USD)
